ID,microchip,speice,sex,size,potenciallyDangrous,neighborhood
2937-FMMSI-SIN IDENTIFICAR,978101081212937,FELINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
2944-CMMSI-SIN IDENTIFICAR,978101081212944,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
2945-CHMSI-SIN IDENTIFICAR,978101081212945,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
2965-FHMSI-SIN IDENTIFICAR,978101081212965,FELINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
2976-CMMSI-SIN IDENTIFICAR,978101081212976,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
2994-CHMSI-SIN IDENTIFICAR,978101081212994,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
996-CHMSI-SIN IDENTIFICAR,978101081212996,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
2998-CMMSI-SIN IDENTIFICAR,978101081212998,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
3001-CMMSI-SIN IDENTIFICAR,978101081213001,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
008-FMMSI-SIN IDENTIFICAR,978101081213008,FELINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
3010-FHMSI-SIN IDENTIFICAR,978101081213010,FELINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
017-FMMSI-SIN IDENTIFICAR,978101081213017,FELINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
023-CHMSI-SIN IDENTIFICAR,978101081213023,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
3047-CMMSI-SIN IDENTIFICAR,978101081213047,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
048-FHMSI-SIN IDENTIFICAR,978101081213048,FELINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
3053-FHMSI-SIN IDENTIFICAR,978101081213053,FELINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
